,algorithm,query,retrieval
47,PureSVD,"['Bad Moon (1996)<br>Horror<br>Popularity:2.0', 'To Kill a Mockingbird (1962)<br>Drama<br>Popularity:605.0', 'Last Emperor, The (1987)<br>Drama|War<br>Popularity:309.0', 'My Name Is Joe (1998)<br>Drama|Romance<br>Popularity:12.0', 'Puppet Master 5: The Final Chapter (1994)<br>Horror|Sci-Fi|Thriller<br>Popularity:1.0']","['Amadeus (1984)<br>Drama<br>Popularity:916.0', ""Wizard of Oz, The (1939)<br>Adventure|Children's|Drama|Musical<br>Popularity:1059.0"", 'Killing Fields, The (1984)<br>Drama|War<br>Popularity:470.0']"
44,PLRec,"['Bloodsport 2 (1995)<br>Action<br>Popularity:1.0', 'Promise, The (La Promesse) (1996)<br>Drama<br>Popularity:15.0', 'Destination Moon (1950)<br>Sci-Fi<br>Popularity:20.0']","['Stand by Me (1986)<br>Adventure|Comedy|Drama<br>Popularity:1153.0', 'Sixth Sense, The (1999)<br>Thriller<br>Popularity:1606.0', 'War of the Worlds, The (1953)<br>Action|Sci-Fi|War<br>Popularity:289.0']"
44,PmiPLRec,"['Bloodsport 2 (1995)<br>Action<br>Popularity:1.0', 'Promise, The (La Promesse) (1996)<br>Drama<br>Popularity:15.0', 'Destination Moon (1950)<br>Sci-Fi<br>Popularity:20.0']","['War of the Worlds, The (1953)<br>Action|Sci-Fi|War<br>Popularity:289.0', 'Day the Earth Stood Still, The (1951)<br>Drama|Sci-Fi<br>Popularity:321.0', '2001: A Space Odyssey (1968)<br>Drama|Mystery|Sci-Fi|Thriller<br>Popularity:977.0']"
44,PureSVD,"['Bloodsport 2 (1995)<br>Action<br>Popularity:1.0', 'Promise, The (La Promesse) (1996)<br>Drama<br>Popularity:15.0', 'Destination Moon (1950)<br>Sci-Fi<br>Popularity:20.0']","['Stand by Me (1986)<br>Adventure|Comedy|Drama<br>Popularity:1153.0', 'Sixth Sense, The (1999)<br>Thriller<br>Popularity:1606.0', 'War of the Worlds, The (1953)<br>Action|Sci-Fi|War<br>Popularity:289.0']"
28,PmiPLRec,"['Blue Angel, The (Blaue Engel, Der) (1930)<br>Drama<br>Popularity:47.0', 'Seventh Heaven (Le Septi\xc3\xa8me ciel) (1997)<br>Drama|Romance<br>Popularity:2.0', ""Pee-wee's Big Adventure (1985)<br>Comedy<br>Popularity:325.0"", 'Bird on a Wire (1990)<br>Action|Adventure|Romance|Thriller<br>Popularity:33.0']","['Airplane! (1980)<br>Comedy<br>Popularity:1008.0', 'Raising Arizona (1987)<br>Comedy<br>Popularity:848.0', ""Ferris Bueller's Day Off (1986)<br>Comedy<br>Popularity:855.0""]"
28,PureSVD,"['Blue Angel, The (Blaue Engel, Der) (1930)<br>Drama<br>Popularity:47.0', 'Seventh Heaven (Le Septi\xc3\xa8me ciel) (1997)<br>Drama|Romance<br>Popularity:2.0', ""Pee-wee's Big Adventure (1985)<br>Comedy<br>Popularity:325.0"", 'Bird on a Wire (1990)<br>Action|Adventure|Romance|Thriller<br>Popularity:33.0']","['Airplane! (1980)<br>Comedy<br>Popularity:1008.0', 'Edward Scissorhands (1990)<br>Drama|Romance<br>Popularity:637.0', 'Beetlejuice (1988)<br>Comedy|Fantasy<br>Popularity:624.0']"
28,PLRec,"['Blue Angel, The (Blaue Engel, Der) (1930)<br>Drama<br>Popularity:47.0', 'Seventh Heaven (Le Septi\xc3\xa8me ciel) (1997)<br>Drama|Romance<br>Popularity:2.0', ""Pee-wee's Big Adventure (1985)<br>Comedy<br>Popularity:325.0"", 'Bird on a Wire (1990)<br>Action|Adventure|Romance|Thriller<br>Popularity:33.0']","['Airplane! (1980)<br>Comedy<br>Popularity:1008.0', 'Edward Scissorhands (1990)<br>Drama|Romance<br>Popularity:637.0', 'Beetlejuice (1988)<br>Comedy|Fantasy<br>Popularity:624.0']"
1,PureSVD,"['Broadway Melody, The (1929)<br>Musical<br>Popularity:9.0', 'Nashville (1975)<br>Drama|Musical<br>Popularity:166.0', 'Young Sherlock Holmes (1985)<br>Action|Adventure|Mystery<br>Popularity:123.0']","['Conversation, The (1974)<br>Drama|Mystery<br>Popularity:273.0', 'Abyss, The (1989)<br>Action|Adventure|Sci-Fi|Thriller<br>Popularity:827.0', 'Taxi Driver (1976)<br>Drama|Thriller<br>Popularity:807.0']"
1,PLRec,"['Broadway Melody, The (1929)<br>Musical<br>Popularity:9.0', 'Nashville (1975)<br>Drama|Musical<br>Popularity:166.0', 'Young Sherlock Holmes (1985)<br>Action|Adventure|Mystery<br>Popularity:123.0']","['Conversation, The (1974)<br>Drama|Mystery<br>Popularity:273.0', 'Abyss, The (1989)<br>Action|Adventure|Sci-Fi|Thriller<br>Popularity:827.0', 'Taxi Driver (1976)<br>Drama|Thriller<br>Popularity:807.0']"
1,PmiPLRec,"['Broadway Melody, The (1929)<br>Musical<br>Popularity:9.0', 'Nashville (1975)<br>Drama|Musical<br>Popularity:166.0', 'Young Sherlock Holmes (1985)<br>Action|Adventure|Mystery<br>Popularity:123.0']","['Conversation, The (1974)<br>Drama|Mystery<br>Popularity:273.0', 'Midnight Cowboy (1969)<br>Drama<br>Popularity:354.0', 'Taxi Driver (1976)<br>Drama|Thriller<br>Popularity:807.0']"
23,PLRec,"['Browning Version, The (1994)<br>Drama<br>Popularity:10.0', 'Raven, The (1963)<br>Comedy|Horror<br>Popularity:22.0']","['Being John Malkovich (1999)<br>Comedy<br>Popularity:1486.0', 'Birds, The (1963)<br>Horror<br>Popularity:322.0', 'Psycho (1960)<br>Horror|Thriller<br>Popularity:745.0']"
23,PureSVD,"['Browning Version, The (1994)<br>Drama<br>Popularity:10.0', 'Raven, The (1963)<br>Comedy|Horror<br>Popularity:22.0']","['Being John Malkovich (1999)<br>Comedy<br>Popularity:1486.0', 'Birds, The (1963)<br>Horror<br>Popularity:322.0', 'Psycho (1960)<br>Horror|Thriller<br>Popularity:745.0']"
23,PmiPLRec,"['Browning Version, The (1994)<br>Drama<br>Popularity:10.0', 'Raven, The (1963)<br>Comedy|Horror<br>Popularity:22.0']","['Birds, The (1963)<br>Horror<br>Popularity:322.0', 'Exorcist, The (1973)<br>Horror<br>Popularity:411.0', 'Invasion of the Body Snatchers (1956)<br>Horror|Sci-Fi<br>Popularity:329.0']"
11,PmiPLRec,"['Captives (1994)<br>Drama<br>Popularity:1.0', 'Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)<br>Film-Noir<br>Popularity:311.0', 'Butch Cassidy and the Sundance Kid (1969)<br>Action|Comedy|Western<br>Popularity:954.0', 'Flashdance (1983)<br>Drama|Romance<br>Popularity:75.0', 'Rocketship X-M (1950)<br>Sci-Fi<br>Popularity:12.0']","['Annie Hall (1977)<br>Comedy|Romance<br>Popularity:876.0', 'Chinatown (1974)<br>Film-Noir|Mystery|Thriller<br>Popularity:791.0', 'Godfather, The (1972)<br>Action|Crime|Drama<br>Popularity:1700.0']"
11,PureSVD,"['Captives (1994)<br>Drama<br>Popularity:1.0', 'Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)<br>Film-Noir<br>Popularity:311.0', 'Butch Cassidy and the Sundance Kid (1969)<br>Action|Comedy|Western<br>Popularity:954.0', 'Flashdance (1983)<br>Drama|Romance<br>Popularity:75.0', 'Rocketship X-M (1950)<br>Sci-Fi<br>Popularity:12.0']","['Good, The Bad and The Ugly, The (1966)<br>Action|Western<br>Popularity:494.0', 'Cool Hand Luke (1967)<br>Comedy|Drama<br>Popularity:611.0', 'Annie Hall (1977)<br>Comedy|Romance<br>Popularity:876.0']"
11,PLRec,"['Captives (1994)<br>Drama<br>Popularity:1.0', 'Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)<br>Film-Noir<br>Popularity:311.0', 'Butch Cassidy and the Sundance Kid (1969)<br>Action|Comedy|Western<br>Popularity:954.0', 'Flashdance (1983)<br>Drama|Romance<br>Popularity:75.0', 'Rocketship X-M (1950)<br>Sci-Fi<br>Popularity:12.0']","['Good, The Bad and The Ugly, The (1966)<br>Action|Western<br>Popularity:494.0', 'Cool Hand Luke (1967)<br>Comedy|Drama<br>Popularity:611.0', 'Annie Hall (1977)<br>Comedy|Romance<br>Popularity:876.0']"
9,PureSVD,"['Celtic Pride (1996)<br>Comedy<br>Popularity:3.0', ""Adventures of Pinocchio, The (1996)<br>Adventure|Children's<br>Popularity:10.0"", 'Chasing Amy (1997)<br>Drama|Romance<br>Popularity:445.0', 'Allan Quartermain and the Lost City of Gold (1987)<br>Action|Adventure<br>Popularity:8.0', 'Passion of Mind (1999)<br>Romance|Thriller<br>Popularity:5.0', 'Shaft (1971)<br>Action|Crime<br>Popularity:72.0']","['Clerks (1994)<br>Comedy<br>Popularity:821.0', 'Jerry Maguire (1996)<br>Drama|Romance<br>Popularity:621.0', 'Dogma (1999)<br>Comedy<br>Popularity:459.0']"
9,PLRec,"['Celtic Pride (1996)<br>Comedy<br>Popularity:3.0', ""Adventures of Pinocchio, The (1996)<br>Adventure|Children's<br>Popularity:10.0"", 'Chasing Amy (1997)<br>Drama|Romance<br>Popularity:445.0', 'Allan Quartermain and the Lost City of Gold (1987)<br>Action|Adventure<br>Popularity:8.0', 'Passion of Mind (1999)<br>Romance|Thriller<br>Popularity:5.0', 'Shaft (1971)<br>Action|Crime<br>Popularity:72.0']","['Clerks (1994)<br>Comedy<br>Popularity:821.0', 'Jerry Maguire (1996)<br>Drama|Romance<br>Popularity:621.0', 'Dogma (1999)<br>Comedy<br>Popularity:459.0']"
9,PmiPLRec,"['Celtic Pride (1996)<br>Comedy<br>Popularity:3.0', ""Adventures of Pinocchio, The (1996)<br>Adventure|Children's<br>Popularity:10.0"", 'Chasing Amy (1997)<br>Drama|Romance<br>Popularity:445.0', 'Allan Quartermain and the Lost City of Gold (1987)<br>Action|Adventure<br>Popularity:8.0', 'Passion of Mind (1999)<br>Romance|Thriller<br>Popularity:5.0', 'Shaft (1971)<br>Action|Crime<br>Popularity:72.0']","['Clerks (1994)<br>Comedy<br>Popularity:821.0', 'Good Will Hunting (1997)<br>Drama<br>Popularity:965.0', 'Pulp Fiction (1994)<br>Crime|Drama<br>Popularity:1406.0']"
0,PLRec,"[""Dante's Peak (1997)<br>Action|Thriller<br>Popularity:50.0"", 'Serpico (1973)<br>Crime|Drama<br>Popularity:274.0']","['Taxi Driver (1976)<br>Drama|Thriller<br>Popularity:807.0', 'Dog Day Afternoon (1975)<br>Comedy|Crime|Drama<br>Popularity:429.0', 'Godfather: Part II, The (1974)<br>Action|Crime|Drama<br>Popularity:1210.0']"
0,PmiPLRec,"[""Dante's Peak (1997)<br>Action|Thriller<br>Popularity:50.0"", 'Serpico (1973)<br>Crime|Drama<br>Popularity:274.0']","['Godfather: Part II, The (1974)<br>Action|Crime|Drama<br>Popularity:1210.0', 'Godfather, The (1972)<br>Action|Crime|Drama<br>Popularity:1700.0', 'French Connection, The (1971)<br>Action|Crime|Drama|Thriller<br>Popularity:525.0']"
0,PureSVD,"[""Dante's Peak (1997)<br>Action|Thriller<br>Popularity:50.0"", 'Serpico (1973)<br>Crime|Drama<br>Popularity:274.0']","['Taxi Driver (1976)<br>Drama|Thriller<br>Popularity:807.0', 'Dog Day Afternoon (1975)<br>Comedy|Crime|Drama<br>Popularity:429.0', 'French Connection, The (1971)<br>Action|Crime|Drama|Thriller<br>Popularity:525.0']"
16,PmiPLRec,"['Dead Presidents (1995)<br>Action|Crime|Drama<br>Popularity:38.0', 'Two Bits (1995)<br>Drama<br>Popularity:0.0', 'Mission to Mars (2000)<br>Sci-Fi<br>Popularity:113.0']","['Patriot, The (2000)<br>Action|Drama|War<br>Popularity:578.0', 'Gladiator (2000)<br>Action|Drama<br>Popularity:1095.0', 'Contact (1997)<br>Drama|Sci-Fi<br>Popularity:652.0']"
16,PureSVD,"['Dead Presidents (1995)<br>Action|Crime|Drama<br>Popularity:38.0', 'Two Bits (1995)<br>Drama<br>Popularity:0.0', 'Mission to Mars (2000)<br>Sci-Fi<br>Popularity:113.0']","['Patriot, The (2000)<br>Action|Drama|War<br>Popularity:578.0', 'U-571 (2000)<br>Action|Thriller<br>Popularity:338.0', 'Erin Brockovich (2000)<br>Drama<br>Popularity:654.0']"
16,PLRec,"['Dead Presidents (1995)<br>Action|Crime|Drama<br>Popularity:38.0', 'Two Bits (1995)<br>Drama<br>Popularity:0.0', 'Mission to Mars (2000)<br>Sci-Fi<br>Popularity:113.0']","['Patriot, The (2000)<br>Action|Drama|War<br>Popularity:578.0', 'U-571 (2000)<br>Action|Thriller<br>Popularity:338.0', 'Erin Brockovich (2000)<br>Drama<br>Popularity:654.0']"
26,PLRec,"['Demolition Man (1993)<br>Action|Sci-Fi<br>Popularity:142.0', 'Howling II: Your Sister Is a Werewolf (1985)<br>Horror<br>Popularity:1.0', 'I Saw What You Did (1965)<br>Thriller<br>Popularity:16.0']","['Independence Day (ID4) (1996)<br>Action|Sci-Fi|War<br>Popularity:684.0', 'Armageddon (1998)<br>Action|Adventure|Sci-Fi|Thriller<br>Popularity:341.0', 'Face/Off (1997)<br>Action|Sci-Fi|Thriller<br>Popularity:524.0']"
26,PmiPLRec,"['Demolition Man (1993)<br>Action|Sci-Fi<br>Popularity:142.0', 'Howling II: Your Sister Is a Werewolf (1985)<br>Horror<br>Popularity:1.0', 'I Saw What You Did (1965)<br>Thriller<br>Popularity:16.0']","['Independence Day (ID4) (1996)<br>Action|Sci-Fi|War<br>Popularity:684.0', 'Armageddon (1998)<br>Action|Adventure|Sci-Fi|Thriller<br>Popularity:341.0', 'Men in Black (1997)<br>Action|Adventure|Comedy|Sci-Fi<br>Popularity:1271.0']"
26,PureSVD,"['Demolition Man (1993)<br>Action|Sci-Fi<br>Popularity:142.0', 'Howling II: Your Sister Is a Werewolf (1985)<br>Horror<br>Popularity:1.0', 'I Saw What You Did (1965)<br>Thriller<br>Popularity:16.0']","['Independence Day (ID4) (1996)<br>Action|Sci-Fi|War<br>Popularity:684.0', 'Armageddon (1998)<br>Action|Adventure|Sci-Fi|Thriller<br>Popularity:341.0', 'Face/Off (1997)<br>Action|Sci-Fi|Thriller<br>Popularity:524.0']"
8,PureSVD,"['Father of the Bride (1950)<br>Comedy<br>Popularity:114.0', 'Children of the Corn II: The Final Sacrifice (1993)<br>Horror<br>Popularity:1.0', 'Dracula (1958)<br>Horror<br>Popularity:35.0', 'Firestarter (1984)<br>Horror|Thriller<br>Popularity:42.0']","['Men in Black (1997)<br>Action|Adventure|Comedy|Sci-Fi<br>Popularity:1271.0', 'Forrest Gump (1994)<br>Comedy|Romance|War<br>Popularity:1285.0', 'Rocky Horror Picture Show, The (1975)<br>Comedy|Horror|Musical|Sci-Fi<br>Popularity:417.0']"
8,PLRec,"['Father of the Bride (1950)<br>Comedy<br>Popularity:114.0', 'Children of the Corn II: The Final Sacrifice (1993)<br>Horror<br>Popularity:1.0', 'Dracula (1958)<br>Horror<br>Popularity:35.0', 'Firestarter (1984)<br>Horror|Thriller<br>Popularity:42.0']","['Men in Black (1997)<br>Action|Adventure|Comedy|Sci-Fi<br>Popularity:1271.0', 'Forrest Gump (1994)<br>Comedy|Romance|War<br>Popularity:1285.0', 'Rocky Horror Picture Show, The (1975)<br>Comedy|Horror|Musical|Sci-Fi<br>Popularity:417.0']"
8,PmiPLRec,"['Father of the Bride (1950)<br>Comedy<br>Popularity:114.0', 'Children of the Corn II: The Final Sacrifice (1993)<br>Horror<br>Popularity:1.0', 'Dracula (1958)<br>Horror<br>Popularity:35.0', 'Firestarter (1984)<br>Horror|Thriller<br>Popularity:42.0']","['Exorcist, The (1973)<br>Horror<br>Popularity:411.0', 'Birds, The (1963)<br>Horror<br>Popularity:322.0', 'American Werewolf in London, An (1981)<br>Horror<br>Popularity:232.0']"
14,PLRec,"['First Knight (1995)<br>Action|Adventure|Drama|Romance<br>Popularity:78.0', 'Walking Dead, The (1995)<br>Drama|War<br>Popularity:2.0', 'Jurassic Park (1993)<br>Action|Adventure|Sci-Fi<br>Popularity:1418.0', ""Aladdin and the King of Thieves (1996)<br>Animation|Children's|Comedy<br>Popularity:35.0"", 'SubUrbia (1997)<br>Comedy<br>Popularity:21.0', 'Rocket Man (1997)<br>Comedy<br>Popularity:14.0', 'Without Limits (1998)<br>Drama<br>Popularity:15.0']","['Men in Black (1997)<br>Action|Adventure|Comedy|Sci-Fi<br>Popularity:1271.0', 'Lost World: Jurassic Park, The (1997)<br>Action|Adventure|Sci-Fi|Thriller<br>Popularity:288.0', 'Independence Day (ID4) (1996)<br>Action|Sci-Fi|War<br>Popularity:684.0']"
14,PureSVD,"['First Knight (1995)<br>Action|Adventure|Drama|Romance<br>Popularity:78.0', 'Walking Dead, The (1995)<br>Drama|War<br>Popularity:2.0', 'Jurassic Park (1993)<br>Action|Adventure|Sci-Fi<br>Popularity:1418.0', ""Aladdin and the King of Thieves (1996)<br>Animation|Children's|Comedy<br>Popularity:35.0"", 'SubUrbia (1997)<br>Comedy<br>Popularity:21.0', 'Rocket Man (1997)<br>Comedy<br>Popularity:14.0', 'Without Limits (1998)<br>Drama<br>Popularity:15.0']","['Men in Black (1997)<br>Action|Adventure|Comedy|Sci-Fi<br>Popularity:1271.0', 'Independence Day (ID4) (1996)<br>Action|Sci-Fi|War<br>Popularity:684.0', 'Lost World: Jurassic Park, The (1997)<br>Action|Adventure|Sci-Fi|Thriller<br>Popularity:288.0']"
14,PmiPLRec,"['First Knight (1995)<br>Action|Adventure|Drama|Romance<br>Popularity:78.0', 'Walking Dead, The (1995)<br>Drama|War<br>Popularity:2.0', 'Jurassic Park (1993)<br>Action|Adventure|Sci-Fi<br>Popularity:1418.0', ""Aladdin and the King of Thieves (1996)<br>Animation|Children's|Comedy<br>Popularity:35.0"", 'SubUrbia (1997)<br>Comedy<br>Popularity:21.0', 'Rocket Man (1997)<br>Comedy<br>Popularity:14.0', 'Without Limits (1998)<br>Drama<br>Popularity:15.0']","['Men in Black (1997)<br>Action|Adventure|Comedy|Sci-Fi<br>Popularity:1271.0', 'Terminator 2: Judgment Day (1991)<br>Action|Sci-Fi|Thriller<br>Popularity:1737.0', 'Braveheart (1995)<br>Action|Drama|War<br>Popularity:1672.0']"
15,PLRec,"[""Flintstones, The (1994)<br>Children's|Comedy<br>Popularity:17.0"", ""Little Princess, The (1939)<br>Children's|Drama<br>Popularity:32.0"", 'Meet Wally Sparks (1997)<br>Comedy<br>Popularity:2.0', 'Repo Man (1984)<br>Comedy|Sci-Fi<br>Popularity:340.0', 'Leatherface: Texas Chainsaw Massacre III (1990)<br>Horror<br>Popularity:5.0', 'Long Goodbye, The (1973)<br>Crime<br>Popularity:31.0', 'Class Reunion (1982)<br>Comedy<br>Popularity:0.0']","['Men in Black (1997)<br>Action|Adventure|Comedy|Sci-Fi<br>Popularity:1271.0', 'Brazil (1985)<br>Sci-Fi<br>Popularity:533.0', 'Roger & Me (1989)<br>Comedy|Documentary<br>Popularity:469.0']"
15,PmiPLRec,"[""Flintstones, The (1994)<br>Children's|Comedy<br>Popularity:17.0"", ""Little Princess, The (1939)<br>Children's|Drama<br>Popularity:32.0"", 'Meet Wally Sparks (1997)<br>Comedy<br>Popularity:2.0', 'Repo Man (1984)<br>Comedy|Sci-Fi<br>Popularity:340.0', 'Leatherface: Texas Chainsaw Massacre III (1990)<br>Horror<br>Popularity:5.0', 'Long Goodbye, The (1973)<br>Crime<br>Popularity:31.0', 'Class Reunion (1982)<br>Comedy<br>Popularity:0.0']","['Brazil (1985)<br>Sci-Fi<br>Popularity:533.0', 'Blade Runner (1982)<br>Film-Noir|Sci-Fi<br>Popularity:1203.0', 'Time Bandits (1981)<br>Adventure|Fantasy|Sci-Fi<br>Popularity:475.0']"
15,PureSVD,"[""Flintstones, The (1994)<br>Children's|Comedy<br>Popularity:17.0"", ""Little Princess, The (1939)<br>Children's|Drama<br>Popularity:32.0"", 'Meet Wally Sparks (1997)<br>Comedy<br>Popularity:2.0', 'Repo Man (1984)<br>Comedy|Sci-Fi<br>Popularity:340.0', 'Leatherface: Texas Chainsaw Massacre III (1990)<br>Horror<br>Popularity:5.0', 'Long Goodbye, The (1973)<br>Crime<br>Popularity:31.0', 'Class Reunion (1982)<br>Comedy<br>Popularity:0.0']","['Men in Black (1997)<br>Action|Adventure|Comedy|Sci-Fi<br>Popularity:1271.0', 'Brazil (1985)<br>Sci-Fi<br>Popularity:533.0', 'Roger & Me (1989)<br>Comedy|Documentary<br>Popularity:469.0']"
41,PureSVD,"[""Fluke (1995)<br>Children's|Drama<br>Popularity:7.0"", 'King Kong Lives (1986)<br>Action|Adventure|Horror<br>Popularity:1.0']","['Green Mile, The (1999)<br>Drama|Thriller<br>Popularity:714.0', 'Fugitive, The (1993)<br>Action|Thriller<br>Popularity:1277.0', 'Pleasantville (1998)<br>Comedy<br>Popularity:543.0']"
41,PLRec,"[""Fluke (1995)<br>Children's|Drama<br>Popularity:7.0"", 'King Kong Lives (1986)<br>Action|Adventure|Horror<br>Popularity:1.0']","['Green Mile, The (1999)<br>Drama|Thriller<br>Popularity:714.0', 'Fugitive, The (1993)<br>Action|Thriller<br>Popularity:1277.0', 'Pleasantville (1998)<br>Comedy<br>Popularity:543.0']"
41,PmiPLRec,"[""Fluke (1995)<br>Children's|Drama<br>Popularity:7.0"", 'King Kong Lives (1986)<br>Action|Adventure|Horror<br>Popularity:1.0']","[""Jumanji (1995)<br>Adventure|Children's|Fantasy<br>Popularity:178.0"", ""Indian in the Cupboard, The (1995)<br>Adventure|Children's|Fantasy<br>Popularity:105.0"", ""Lion King, The (1994)<br>Animation|Children's|Musical<br>Popularity:514.0""]"
21,PmiPLRec,"['Getting Away With Murder (1996)<br>Comedy<br>Popularity:0.0', 'Body Parts (1991)<br>Horror<br>Popularity:5.0', 'Hollow Reed (1996)<br>Drama<br>Popularity:7.0', ""Heaven's Burning (1997)<br>Action|Drama<br>Popularity:1.0"", 'Wings (1927)<br>Drama|Romance|War<br>Popularity:19.0']","['Boat, The (Das Boot) (1981)<br>Action|Drama|War<br>Popularity:714.0', 'Patton (1970)<br>Drama|War<br>Popularity:372.0', 'Stalag 17 (1953)<br>Drama|War<br>Popularity:238.0']"
21,PLRec,"['Getting Away With Murder (1996)<br>Comedy<br>Popularity:0.0', 'Body Parts (1991)<br>Horror<br>Popularity:5.0', 'Hollow Reed (1996)<br>Drama<br>Popularity:7.0', ""Heaven's Burning (1997)<br>Action|Drama<br>Popularity:1.0"", 'Wings (1927)<br>Drama|Romance|War<br>Popularity:19.0']","['Terminator 2: Judgment Day (1991)<br>Action|Sci-Fi|Thriller<br>Popularity:1737.0', 'Terminator, The (1984)<br>Action|Sci-Fi|Thriller<br>Popularity:1360.0', 'Green Mile, The (1999)<br>Drama|Thriller<br>Popularity:714.0']"
